feature,importance
car_age,5122.595283233485
odometer,3744.177988090663
cylinders,2036.1877805315871
drive,1831.368096016259
fuel,1437.3859153302099
manufacturer,995.2391556716052
type,936.0566955250478
mileage_per_year,671.5491890842978
condition,473.5258085314487
transmission,288.7434729128001
paint_color,216.55746149413076
state,162.41846721454718
region,105.67397612704417
title_status,90.99629553426242
