mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
2.8972962697347007,0.18471810124529803,0.28517913818359375,0.07020122732870375,0.1,{'model__alpha': 0.1},-6130.076862202389,-6196.075337993374,-6187.774577572317,-6171.308925922694,29.351751394290822,5,-6163.858143247175,-6105.462533809835,-6110.132294160761,-6126.484323739257,26.49595508615831
2.899245341618856,0.041124309617715245,0.2264556884765625,0.008932135439679915,1.0,{'model__alpha': 1},-6128.591231833093,-6195.2268165492915,-6186.408962752779,-6170.075670378388,29.55399146712031,4,-6163.266885633497,-6105.507995099096,-6109.436635096963,-6126.070505276519,26.350668388789888
2.2605206966400146,0.513303059373704,0.22275773684183756,0.029520277369672526,10.0,{'model__alpha': 10},-6121.865094444292,-6187.947832702029,-6181.631671111436,-6163.814866085919,29.774832548066744,3,-6161.889138490582,-6105.154100838469,-6107.211071261683,-6124.7514368635775,26.273744098532585
1.3877766132354736,0.011081225485565512,0.20886127154032388,0.011592368075354914,50.0,{'model__alpha': 50},-6117.58270017119,-6181.165831779433,-6176.804163287075,-6158.517565079233,29.000039215940173,1,-6165.325765773434,-6109.467744798528,-6109.50415520126,-6128.099221924407,26.323145792717458
1.5846636295318604,0.07664203973917995,0.1812873681386312,0.062227462623351,100.0,{'model__alpha': 100},-6121.711682279749,-6184.892968297624,-6182.13341435603,-6162.912688311135,29.155284918150866,2,-6174.085091851281,-6119.627805692634,-6118.1313343105485,-6137.281410618154,26.031302578261773
