mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__n_estimators,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_features,param_model__max_depth,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
7.761128346125285,0.15997547128719644,0.9958672523498535,0.07390866495470458,80,5,1,sqrt,12,"{'model__n_estimators': 80, 'model__min_samples_split': 5, 'model__min_samples_leaf': 1, 'model__max_features': 'sqrt', 'model__max_depth': 12}",-6624.904851301786,-6416.796470777055,-6781.153876401946,-6607.6183994935955,149.24966961552036,10,-6504.34122802837,-6337.281893657544,-6488.987225468841,-6443.536782384918,75.39457267159894
19.054105520248413,0.14164723016007416,1.1168452898661296,0.173395817779694,120,10,4,sqrt,20,"{'model__n_estimators': 120, 'model__min_samples_split': 10, 'model__min_samples_leaf': 4, 'model__max_features': 'sqrt', 'model__max_depth': 20}",-5600.114457329723,-5517.195071748308,-5711.673030099124,-5609.660853059052,79.68173912359573,7,-5420.523674860172,-5367.157721954607,-5356.32159036127,-5381.334329058683,28.061944043354504
29.709184805552166,0.808257505533362,1.1747879187266033,0.09356260474864617,180,10,2,sqrt,20,"{'model__n_estimators': 180, 'model__min_samples_split': 10, 'model__min_samples_leaf': 2, 'model__max_features': 'sqrt', 'model__max_depth': 20}",-5447.486981059167,-5318.342473481385,-5533.74691320173,-5433.192122580761,88.51751388660213,6,-5154.947350293452,-5046.831126438439,-5073.041029349532,-5091.606502027142,46.04915523636352
12.901115973790487,1.0434696578969742,0.5573077201843262,0.25386390574021656,120,10,1,sqrt,12,"{'model__n_estimators': 120, 'model__min_samples_split': 10, 'model__min_samples_leaf': 1, 'model__max_features': 'sqrt', 'model__max_depth': 12}",-6600.499439327192,-6427.371347636218,-6702.482943610841,-6576.784576858084,113.55877651792657,9,-6490.610728903946,-6354.976336246383,-6432.291189794035,-6425.959418314788,55.55322142141771
570.7213624318441,0.8112108516756279,1.171494722366333,0.30967366993416073,120,5,4,1.0,30,"{'model__n_estimators': 120, 'model__min_samples_split': 5, 'model__min_samples_leaf': 4, 'model__max_features': 1.0, 'model__max_depth': 30}",-3919.0342993706436,-3945.3060710123345,-4003.8640446293352,-3956.0681383374376,35.457843420002966,3,-2723.9501286006353,-2719.0112213126145,-2697.210772003031,-2713.390707305427,11.617255300979584
9.787371317545572,0.16149478930193034,0.526521364847819,0.059403701853074996,80,10,2,sqrt,12,"{'model__n_estimators': 80, 'model__min_samples_split': 10, 'model__min_samples_leaf': 2, 'model__max_features': 'sqrt', 'model__max_depth': 12}",-6552.478561090881,-6430.352841572778,-6712.456417986166,-6565.095940216608,115.51336329131762,8,-6467.528505048241,-6383.023851228561,-6468.5359448251365,-6439.696100367313,40.075442193938486
248.77451157569885,4.534120852844682,1.71880038579305,0.05155446166501114,80,2,2,0.5,20,"{'model__n_estimators': 80, 'model__min_samples_split': 2, 'model__min_samples_leaf': 2, 'model__max_features': 0.5, 'model__max_depth': 20}",-3923.1925655588707,-3928.4772947074443,-4002.047291312328,-3951.239050526214,35.99157391555443,2,-2665.1357522651524,-2674.2233341940605,-2645.487715784295,-2661.615600747836,11.99242931676942
209.4573986530304,11.821271348243929,1.4815473556518555,0.2766113399071619,180,5,1,0.5,12,"{'model__n_estimators': 180, 'model__min_samples_split': 5, 'model__min_samples_leaf': 1, 'model__max_features': 0.5, 'model__max_depth': 12}",-4630.4661153851175,-4645.930577770487,-4704.375663109443,-4660.257452088349,31.82870619418318,5,-4169.216217006585,-4172.19097114007,-4128.381954349501,-4156.596380832052,19.987540899989526
204.24707460403442,0.7401308766817668,1.2898379961649578,0.014326945897871863,180,2,1,0.5,12,"{'model__n_estimators': 180, 'model__min_samples_split': 2, 'model__min_samples_leaf': 1, 'model__max_features': 0.5, 'model__max_depth': 12}",-4634.085916084478,-4640.2574302230005,-4687.496139205517,-4653.946495170999,23.856597379937345,4,-4142.473568761884,-4134.685859375288,-4086.611730393662,-4121.257052843612,24.703385464590795
198.71298336982727,55.703946376583204,0.6666476726531982,0.4082691986868,80,5,1,0.5,30,"{'model__n_estimators': 80, 'model__min_samples_split': 5, 'model__min_samples_leaf': 1, 'model__max_features': 0.5, 'model__max_depth': 30}",-3745.438227633726,-3739.512726880567,-3831.6811138845846,-3772.2106894662925,42.1214626618685,1,-1915.6221391046822,-1923.1492833226882,-1910.8226188510853,-1916.5313470928186,5.073240819774401
