feature,importance
car_age,4241.214117268332
odometer,3682.7460802320643
cylinders,1915.1646449201062
drive,1490.8560179019296
fuel,1277.627639088345
mileage_per_year,473.3871277077457
manufacturer,424.4219786558203
type,287.09505044497683
transmission,268.4658375806339
condition,134.4150110900467
paint_color,71.34520464463974
state,54.06724355673456
title_status,49.27327716666059
region,23.927210804449107
